id,title,overview,release_date,vote_average,vote_count,popularity,poster_path,genre_names,type
65321,Massan,"Massan is based on the lives of Masataka Taketsuru and his wife Jessie Roberta ""Rita"" Cowan, a Scotswoman Taketsuru met while studying abroad.",2014-09-29,8.0,2,37.5391,/99h5hflsKPfsrVNAaFOkA9cMn31.jpg,Drama,tv
50170,Cocoon,"de'Rainbow gang consists of five neighbors who are friends because their respective mothers are best friends, so they grew up and played together. Indra is the only guy who goes to a different school and can cook, Chacha is a beautiful and sporty girl who is the leader of the gang, Beby is a sassy girl who likes fashion, Tasya is a feminine girl who lives simply, while Helen is a smart girl who loves to read books and often make all the decisions.",2008-11-17,0.0,0,37.5334,/yIGUjRF0GQmuqpaCxI3H54HFYnH.jpg,"Crime, Drama, Soap",tv
80207,"Milady, la historia continúa",,1997-09-08,2.0,1,37.5296,/cd4lbpCNkY3yqDYsq3VD9cvCMrq.jpg,Soap,tv
208658,Las Trampas del Deseo,,2013-10-21,0.0,0,37.5293,/ykksqGgBcidIDPP3CV71FbuNwkD.jpg,"Drama, Soap",tv
56204,The Big Guy and Rusty the Boy Robot,"""Big Guy"" is an elite fighting robot, protecting New Tronic City from danger, whether from earth or from outer space. When the Big Guy is decommissioned, however, a smaller, childlike robot named Rusty is brought on to take its place. But it is clear that Rusty needs Big Guy's help, and it is up to the two of them to help keep the world a safer place.",1999-09-18,7.2,5,37.5236,/wPP8rkDsAyH1ThznRDQekuhwQNt.jpg,"Animation, Kids, Action & Adventure, Sci-Fi & Fantasy",tv
60761,Ace of Diamond,"Eijun Sawamura is a pitcher who joins an elite school with a brilliant catcher named Kazuya Miyuki. Together with the rest of the team, they strive for Japan's storied Koushien championships through hard work and determination.",2013-10-06,7.935,62,37.5139,/pp5tCc1wlhR9XmtO1YcHrPB8CDb.jpg,Animation,tv
241609,Your Friends & Neighbors,"When a financial titan suddenly finds himself divorced and jobless, he starts robbing his wealthy neighbors to stay afloat. Stealing from his own social circle strangely exhilarates him—but he gradually gets tangled in a deadly web.",2025-04-10,6.667,18,37.5114,/5Red8BT8N0YaWumXMQhuoGP40Ox.jpg,Drama,tv
19976,Deal or No Deal,"Deal or No Deal is a South African version of the international television game show created by John de Mol for Endemol Netherlands in which the core idea in all countries is the same: one contestant in a high thrills face-off with mystery suitcases.

This is the second South African version of the show - the first aired for two seasons on M-Net, from 2007-2008.",2023-03-06,1.0,2,37.5108,/tyFvCih3yQWqQrXgxzRTU67cypX.jpg,Reality,tv
1054,The Young and the Restless,"The rivalries, romances, hopes and fears of the residents of the fictional Midwestern metropolis, Genoa City. The lives and loves of a wide variety of characters mingle through the generations, dominated by the Newman, Abbott, Baldwin and Winters families.",1973-03-26,6.934,152,37.5095,/5h58tbqpUhpdiQR1i4FawKWOidh.jpg,"Soap, Drama",tv
128094,The Show,"The Show is a South Korean music television program broadcast by SBS MTV. It airs live every Tuesday and is broadcast from the SBS Prism Tower in Sangam-dong, Seoul, South Korea.",2011-04-15,0.0,0,37.5009,/hO1l5Oorw1KJA9b7U8MN9mB7IGF.jpg,Reality,tv
